risk_id,risk_description,type,likelihood_1_to_5,impact_1_to_5,score,early_warning_indicator,mitigation,contingency,owner,status,evidence_label
R032,"Screened or positive cash is treated as movable or recognized value",Recommendation,3,5,15,"Value shown without current certification or Finance approval","Keep VG01-VG05 and zero-recognition rule; uncertified accounts ineligible","Stop action; correct ledger and decision materials; investigate governance failure",Group Treasurer / Finance,Open,ANALYST-JUDGMENT
R033,"Authoritative data and metric ownership is not accepted by Day 30",Execution,4,5,20,"Missing owners; unreconciled populations; definitions remain disputed","G1 contract with one accountable owner per data object/KPI","Switch or narrow to local stabilization with common feed; extend evidence only with owners/dates",CFO / CIO / Group Treasurer,Open,ANALYST-JUDGMENT
R034,"Critical payment service is disrupted by a production change",Service,3,5,15,"Late releases; critical-flow backlog; emergency volume rises","Service thresholds; blackout; emergency rights; monitoring; ≤4h rollback","Rollback; invoke approved prior process; incident review and reapproval",Shared Services / BU Finance / CIO,Open,ANALYST-JUDGMENT
R035,"North America change enters the eight-week freeze or lacks BU CFO sign-off",Service,3,5,15,"Release plan overlaps unconfirmed/confirmed freeze; approval absent","Confirm calendar at G1; hard release control; Rachel Kim approval","Delay release; continue evidence/design work only",NA BU CFO / Transformation Director,Open,ACG-DATA / ANALYST-JUDGMENT
R036,"One-time cost exceeds $1.5m or recurring cost lacks budget",Financial,4,4,16,"CR range trends high; run-support quote absent","Close CR01-CR10; separate one-time/recurring; CFO gate","Stage scope; redesign; switch to local stabilization; return for approval",CFO / Finance / CIO,Open,ANALYST-ASSUMPTION
R037,"Capacity hypothesis is converted into labor savings prematurely",Financial,3,5,15,"Headcount or P&L target appears before time study/redeployment","VG08-VG10; required-control separation; Finance recognition","Remove claim/action; restore staffing; reassess service/control impact",Shared Services / Finance,Open,ANALYST-JUDGMENT
R038,"Central policy removes necessary local rights or context",Operating model,3,5,15,"Local exceptions rise; payroll/tax/refund/supplier service concerns unresolved","Explicit RACI; local certification; emergency rights; specialist review","Switch affected process to local stabilization; redesign delegated authority",Group Treasurer / Regional Finance,Open,ANALYST-JUDGMENT
R039,"Access, SoD, cyber, audit-trail, or resilience control fails",Control,3,5,15,"Failed test; unauthorized access; missing logs; recovery miss","G2/G3 control evidence; least privilege; independent test; rollback","Stop and contain; rollback; remediate and retest",CIO / Control owner,Open,ANALYST-JUDGMENT
R040,"Payment sample is treated as prevalence or causal proof",Analytical,3,4,12,"Pilot case rates extrapolated to enterprise or intervention selected without source evidence","Preserve purposive design label; require reason/event/source linkage","Withdraw claim; expand or redesign study; reset target",Shared Services Lead / Finance,Open,ANALYST-JUDGMENT
R041,"Account closure disrupts receipts, debits, services, tax, or continuity",Operational,2,5,10,"Dependency checklist incomplete or residual activity found","Per-account approval; local validation; contingency; fee verification","Do not close or restore approved service path; document retained purpose",Group Treasurer / Regional Finance,Open,ANALYST-JUDGMENT
R042,"Benefit formula or population changes improve reported results without real performance",Governance,3,5,15,"Denominator/source/baseline changes without approval or restatement","Finance-owned KPI dictionary and change history; like-for-like reporting","Suspend recognition; restate history; governance review",Finance Benefits Lead,Open,ANALYST-JUDGMENT
R043,"The program remains indefinitely amber without a real stop/switch decision",Governance,3,4,12,"Repeated gate extension without closure trend, owners, or dates","Pre-agree G2/G3 allowed outcomes and switch conditions","Invoke local stabilization or stop affected scope",CFO / Steering Committee,Open,ANALYST-JUDGMENT
