risk_id,risk_description,type,likelihood_1_to_5,impact_1_to_5,score,early_warning_indicator,mitigation,contingency,owner,status
R001,"A screening result is presented as validated movable cash",Analytical,4,5,20,"Deck or business case calls $38.13m surplus available or movable","Keep $0 established mobility; label 7/14-day outputs as screening results; require account certification buffer and economics","Shift Wave 1 value to visibility and validation",Group Treasurer,Open
R002,"Estimated manual capacity is converted directly into P&L or headcount",Benefit,4,4,16,"150 hours/month appears as savings without observed time/removal rate","Separate capacity from P&L; time sample; preserve/replace controls","Exclude labor benefit from funded base",Controls / Finance,Open
R003,"External cases or products predetermine the ACG solution",Recommendation,2,4,8,"Option language mirrors a published solution rather than ACG evidence","Score three genuine ACG options; use public cases only as context","Remove unsupported design elements",Baker,Monitoring
R004,"Local legal tax settlement or service constraints emerge after design",Execution,4,5,20,"Cash/account classified before local certification","Build account-level constraint matrix with local sign-off","Defer pooling or closure in affected markets",Regional Finance / Legal / Tax,Open
R005,"Centralization concentrates access resilience or operational failure",Control,3,5,15,"No SoD emergency-payment BCP cyber or rollback design","Require control inventory failure tests local emergency rights and rollback","Use federated interim model and pause scale",Controls / CIO,Open
R006,"Pilot disrupts critical payments or peak-season service",Delivery,3,5,15,"Pilot overlaps peak or lacks SLA/rollback","Select bounded cohorts outside peak; four compliant weeks; four-hour rollback","Pause and revert pilot",BU Finance / Treasurer,Open
R007,"Three-ERP complexity and retiring legacy platform create rework",Technology,4,4,16,"Design assumes uniform integration or invests deeply in retiring ERP","Use staged interfaces and retirement-aware architecture","Use controlled interim files and defer deep integration",CIO,Open
R008,"Six-month period or payment extract omits material cash-demand patterns",Analytical,4,3,12,"Payroll tax seasonal/peak receipts settlement-calendar or extraordinary needs are not fully captured","Request longer history and forecast events; separately validate complete cash needs; retain complete-window sensitivities","Label period limit and keep screening result outside funded value",Data owner,Open
R009,"Actual fees rates transfer costs and implementation costs remain unavailable",Benefit,4,5,20,"Business case uses supplied estimates without owner sign-off","Obtain invoices facility data transfer economics cost and timing ranges","Present validation case rather than committed benefit",CFO / Treasurer,Open
R010,"Public source claims become stale or overstated",Evidence,2,4,8,"Live source differs from logged claim","Retain access date method limitation and reverify before final","Remove or qualify claim",Baker,Monitoring
R011,"Revenue-denominator analysis uses unreconciled $3.9bn/$3.8bn baseline",Analytical,3,4,12,"Report introduces revenue ratios without perimeter note","Reconcile period perimeter eliminations and rounding","Avoid revenue-denominator conclusions",Group Finance,Open
R012,"Receivables or FX conclusions are inferred without subject data",Analytical,4,4,16,"Recommendation quantifies AR or FX performance from proxy data","Keep P1/data-gated; request controlled subject extracts","Remove unsupported opportunity claims",Finance / Treasury,Open
R013,"Payment rates are generalized or overlapping cohorts are double-counted",Analytical,4,4,16,"Narrative drops the 7,600-record qualifier or adds manual-touch and cross-border-wire totals","Use four mutually exclusive strata and a deduplicated union; reconcile source totals and sampling","Limit wording and exclude enterprise benefit",Shared Services / Data owner,Open
R014,"Payment and process repair baselines are blended despite 84% mismatch",Analytical,4,4,16,"Model combines 55.78 and 102.60 hours/month","Keep separate labeled sources and reconciliation gate","Use 50-hour stress only; exclude funded base",Shared Services / Process owner,Open
R015,"Connectivity pilot improves date reporting but not decision usefulness",Delivery,3,4,12,"Same-day rate improves without certified cutoff balance type or reconciliation","Define timestamp balance and decision-consequence KPI before pilot","Stop scale and redesign data contract",Treasurer / CIO,Open
R016,"Provisional maturity scores are treated as an external benchmark or composite rating",Communication,2,3,6,"Scores are averaged or used as vendor-selection proof","Keep observable criteria confidence and no overall average","Remove scores and use evidence statements only",Baker / Process owners,Monitoring
