assumption_id,assumption,used_in,base_value,low_value,high_value,unit,source_or_rationale,sensitivity,validation_action,client_owner,status
A001,"Date equality is a usable interim count-based visibility proxy",Visibility baseline,58.18,,,percent of account-days,"Timestamps are unavailable; 32 of 55 accounts repeat across 181 dates",High,"Obtain receipt timestamps and agree cutoff/balance definition",Daniel Wu / Sarah Coleman,Open
A002,"Project FX rate on transaction/balance date is appropriate for USD translation",Control totals,Project rate,,,USD per local unit,Project dataset convention,Medium,"Confirm finance reporting convention and rate source",Group Finance,Open
A003,"The sweep label 'None' is a valid category rather than missing data",Data ingestion,Valid category,,,categorical,"Raw file and DATA_DICTIONARY.md",Low,"Validated against supplied data dictionary",Baker,Closed
A004,"Preliminary restricted flags are not sufficient to prove immobility or mobility",Liquidity scenarios,Unvalidated,,,boolean,Data dictionary limitation,High,"Legal/tax/local certification by account",Legal / Tax / Regional Finance,Open
A005,"Estimated available balances are suitable only for preliminary scenarios",Liquidity scenarios,Unvalidated,,,USD,Data dictionary limitation,High,"Reconcile to bank definitions and operating buffers",Daniel Wu,Open
A006,"Repair minutes and process manual percentages represent management estimates",Capacity analysis,Management estimate,,,minutes/hours,Data dictionary and process file,High,"Time sample and classify control-critical work",Lucas Schneider / Martin Blake,Open
A007,"Estimated account and payment fees are not an actual cashable baseline",P&L analysis,Estimated,,,USD,Data dictionary limitation,High,"Reconcile bank invoices and contractual pricing",Daniel Wu / Finance,Open
A008,"Six months are directionally representative outside unobserved seasonality",Diagnostic trends,6,,,months,Available period only,High,"Obtain 12-24 months or constrain conclusions",Data owner,Open
A009,"The 7,600 supplied payment records represent the relevant ACG payment population",Payment rates,Unvalidated,,,population,"No extract control total or sampling method is supplied",High,"Reconcile source record/value totals and document extract logic",Shared Services / Data owner,Open
A010,"The payment and process files use comparable exception scope and periods",Capacity analysis,Unreconciled,,,scope,"Payment file implies 79.83 exceptions and 55.78 repair hours/month versus process estimates of 180 and 102.60",High,"Reconcile definitions populations periods and manual-percentage treatment",Shared Services / Process owner,Open
A011,"The $3.9bn entity sum and $3.8bn client-brief revenue refer to a comparable period and perimeter",Revenue baseline,Unreconciled,,,USD billions,"Supplied sources differ by $0.1bn",High,"Confirm period perimeter eliminations and rounding",Group Finance,Open
A012,"At least $35m can be validated as movable within 24 hours",Liquidity mobility hypothesis,35000000,21000000,46240000,USD,"60.6% of the $57.80m gross positive estimate; stress is 40% below base; upside is 80% of gross",High,"Validate restrictions buffers timing entity rules and transferability by account",Daniel Wu / Legal / Tax / Local Finance,Open
A013,"All four dormant zero-payment legacy accounts can close within 12 months",Account rationalization hypothesis,4,2,10,accounts,"Four supplied candidates form the base; two is the stress case; ten remains management's stretch",High,"Validate purpose dependencies activity signatories closure cost and actual fee removal",Daniel Wu / Regional Finance,Open
A014,"Wave 1 can reach 50 of 55 same-day accounts without replacing an ERP",Visibility delivery hypothesis,50,47,55,accounts,"Requires upgrading 18 of 23 delayed accounts including 12 of 14 spreadsheet accounts",High,"Build source-by-source delivery path and validate timestamped reporting",CIO / Treasurer / Data owners,Open
A015,"Wave 1 can reduce manual touch exceptions late release and repair effort to 20% / 4% / 3.5% / 12000 minutes",Payment-friction hypothesis,"20 / 4 / 3.5 / 12000",,,"percent / percent / percent / minutes","Targets apply to a comparable 7600-record period and do not assume causation",High,"Reconcile extract population and diagnose reason codes before selecting interventions",Shared Services / Process owner,Open
A016,"At least 150 of 617.72 estimated manual hours per month can be redeployed",Capacity hypothesis,150,50,,hours/month,"Base equals 24.3% of supplied process effort; stress realizes one-third of the identified target",High,"Time sample work and preserve or replace control purpose before benefit recognition",Process owners / Finance,Open
A017,"Cross-border activity contains 25-50 basis points of avoidable all-in cost",FX screening hypothesis,25,0,50,basis points,"Applied to $14.72m of six-month supplied cross-border value; approximately $73.61k-$147.22k annualized",High,"Reconcile at least 95% of value to exposure trade funding spread fee and settlement evidence",Group Treasury / Finance,Open
A018,"A 10-account pilot can meet the execution gates before the remaining eight-account rollout",Deployment-sequence hypothesis,10,,,accounts,"Pilot covers delayed accounts and at least 25% of supplied payment records",High,"Validate readiness peak calendar four-week service results rollback and critical-payment continuity",CIO / Treasurer / Regional Finance,Open
A019,"At least 25% of positive availability on preliminarily restricted accounts can clear certification for conditional mobility",Restriction-clearance hypothesis,2013425,0,4026850,USD,"Base and stretch equal 25% and 50% of the $8.05m 30 June positive estimate",High,"Certify all 21 flagged accounts and document 100% of exceptions",Legal / Tax / Regional Finance,Open
