dataset,column,missing_count,missing_rate_pct
entities,entity_id,0,0.0
entities,entity_name,0,0.0
entities,region,0,0.0
entities,country,0,0.0
entities,functional_currency,0,0.0
entities,revenue_usd_m,0,0.0
entities,erp_system,0,0.0
entities,acquisition_origin,0,0.0
entities,cash_restriction_level,0,0.0
accounts,account_id,0,0.0
accounts,entity_id,0,0.0
accounts,bank_name,0,0.0
accounts,country,0,0.0
accounts,currency,0,0.0
accounts,purpose,0,0.0
accounts,open_date,0,0.0
accounts,status,0,0.0
accounts,visibility_method,0,0.0
accounts,sweep_structure,0,0.0
accounts,annual_fee_usd,0,0.0
accounts,restricted_flag,0,0.0
balances,date,0,0.0
balances,account_id,0,0.0
balances,closing_balance_local,0,0.0
balances,available_balance_local,0,0.0
balances,reported_to_group_date,0,0.0
balances,source_quality,0,0.0
payments,payment_id,0,0.0
payments,payment_date,0,0.0
payments,account_id,0,0.0
payments,payment_type,0,0.0
payments,currency,0,0.0
payments,amount_local,0,0.0
payments,cross_border_flag,0,0.0
payments,manual_touch_flag,0,0.0
payments,exception_flag,0,0.0
payments,late_release_flag,0,0.0
payments,repair_minutes,0,0.0
payments,fee_usd,0,0.0
payments,status,0,0.0
fx,date,0,0.0
fx,currency,0,0.0
fx,usd_per_unit,0,0.0
process,team,0,0.0
process,process,0,0.0
process,frequency_per_month,0,0.0
process,minutes_per_instance,0,0.0
process,manual_percentage,0,0.0
process,loaded_hourly_cost_usd,0,0.0
process,control_criticality,0,0.0
