date,account_id,entity_id,entity_name,region,currency,bank_name,visibility_method,reporting_delay_days,positive_available_usd,restricted_positive_available_usd,negative_available_usd,complete_7d_window,unflagged_payment_buffer_7d_usd,net_screen_contribution_7d_usd,complete_14d_window,unflagged_payment_buffer_14d_usd,net_screen_contribution_14d_usd
2026-01-01,AC0001,E001,Aurelius Group Holdings,NA,USD,Union Atlantic,Spreadsheet,3,2661539.9,0.0,0.0,False,,,False,,
2026-01-01,AC0002,E001,Aurelius Group Holdings,NA,USD,Pacific Crown,Portal,1,971083.19,0.0,0.0,False,,,False,,
2026-01-01,AC0003,E001,Aurelius Group Holdings,NA,USD,Meridian Commercial,API,0,374742.36,374742.36,0.0,False,,,False,,
2026-01-01,AC0004,E001,Aurelius Group Holdings,NA,USD,Continental Trust,Host-to-host,0,1120.59,0.0,0.0,False,,,False,,
2026-01-01,AC0005,E002,Aurelius Home US,NA,USD,Continental Trust,API,0,2587857.59,0.0,0.0,False,,,False,,
2026-01-01,AC0006,E002,Aurelius Home US,NA,USD,Pacific Crown,Host-to-host,0,2844380.08,0.0,0.0,False,,,False,,
2026-01-01,AC0007,E002,Aurelius Home US,NA,USD,Northbridge Bank,Host-to-host,0,1238463.53,1238463.53,0.0,False,,,False,,
2026-01-01,AC0008,E002,Aurelius Home US,NA,USD,Pacific Crown,Portal,1,771183.42,771183.42,0.0,False,,,False,,
2026-01-01,AC0009,E002,Aurelius Home US,NA,USD,Northbridge Bank,Portal,1,23579.3,0.0,0.0,False,,,False,,
2026-01-01,AC0010,E003,Aurelius Wellness US,NA,USD,Union Atlantic,Spreadsheet,2,3194465.71,0.0,0.0,False,,,False,,
2026-01-01,AC0011,E003,Aurelius Wellness US,NA,USD,Continental Trust,API,0,1794130.79,0.0,0.0,False,,,False,,
2026-01-01,AC0012,E003,Aurelius Wellness US,NA,USD,Northbridge Bank,Host-to-host,0,592235.61,592235.61,0.0,False,,,False,,
2026-01-01,AC0013,E003,Aurelius Wellness US,NA,USD,Union Atlantic,Host-to-host,0,746257.53,746257.53,0.0,False,,,False,,
2026-01-01,AC0014,E004,Aurelius Canada,NA,CAD,Union Atlantic,API,0,755610.203012,0.0,0.0,False,,,False,,
2026-01-01,AC0015,E004,Aurelius Canada,NA,CAD,Pacific Crown,Spreadsheet,2,1215117.570722,0.0,0.0,False,,,False,,
2026-01-01,AC0016,E004,Aurelius Canada,NA,CAD,Meridian Commercial,Spreadsheet,2,444329.257358,444329.257358,0.0,False,,,False,,
2026-01-01,AC0017,E005,Aurelius UK,EMEA,GBP,Union Atlantic,Spreadsheet,2,3106570.352038,0.0,0.0,False,,,False,,
2026-01-01,AC0018,E005,Aurelius UK,EMEA,GBP,Union Atlantic,Portal,1,1343528.204332,0.0,0.0,False,,,False,,
2026-01-01,AC0019,E005,Aurelius UK,EMEA,GBP,Union Atlantic,Host-to-host,0,395412.856273,395412.856273,0.0,False,,,False,,
2026-01-01,AC0020,E005,Aurelius UK,EMEA,GBP,Meridian Commercial,API,0,380483.539368,380483.539368,0.0,False,,,False,,
2026-01-01,AC0021,E006,Aurelius Germany,EMEA,EUR,Continental Trust,Spreadsheet,3,5026511.031469,0.0,0.0,False,,,False,,
2026-01-01,AC0022,E006,Aurelius Germany,EMEA,EUR,Meridian Commercial,Portal,1,1732640.760854,0.0,0.0,False,,,False,,
2026-01-01,AC0023,E006,Aurelius Germany,EMEA,EUR,Northbridge Bank,Host-to-host,0,761131.785523,761131.785523,0.0,False,,,False,,
2026-01-01,AC0024,E006,Aurelius Germany,EMEA,EUR,Pacific Crown,Host-to-host,0,8891.730427,0.0,0.0,False,,,False,,
2026-01-01,AC0025,E007,Aurelius France,EMEA,EUR,Meridian Commercial,Spreadsheet,2,0.0,0.0,-1212167.65773,False,,,False,,
2026-01-01,AC0026,E007,Aurelius France,EMEA,USD,Union Atlantic,Portal,1,935100.57,0.0,0.0,False,,,False,,
2026-01-01,AC0027,E007,Aurelius France,EMEA,EUR,Pacific Crown,API,0,369774.112382,369774.112382,0.0,False,,,False,,
2026-01-01,AC0028,E008,Aurelius Netherlands,EMEA,EUR,Meridian Commercial,Host-to-host,0,3254122.628296,0.0,0.0,False,,,False,,
2026-01-01,AC0029,E008,Aurelius Netherlands,EMEA,EUR,Continental Trust,API,0,2747158.908696,0.0,0.0,False,,,False,,
2026-01-01,AC0030,E008,Aurelius Netherlands,EMEA,USD,Pacific Crown,API,0,595042.73,595042.73,0.0,False,,,False,,
2026-01-01,AC0031,E009,Aurelius Spain,EMEA,USD,Meridian Commercial,Portal,1,2028604.04,0.0,0.0,False,,,False,,
2026-01-01,AC0032,E009,Aurelius Spain,EMEA,EUR,Northbridge Bank,Host-to-host,0,1403564.951475,0.0,0.0,False,,,False,,
2026-01-01,AC0033,E009,Aurelius Spain,EMEA,EUR,Meridian Commercial,Spreadsheet,2,498115.347724,498115.347724,0.0,False,,,False,,
2026-01-01,AC0034,E010,Aurelius Singapore,APAC,USD,Continental Trust,Spreadsheet,2,0.0,0.0,-1007116.49,False,,,False,,
2026-01-01,AC0035,E010,Aurelius Singapore,APAC,SGD,Pacific Crown,Host-to-host,0,815944.553536,0.0,0.0,False,,,False,,
2026-01-01,AC0036,E010,Aurelius Singapore,APAC,SGD,Continental Trust,Host-to-host,0,259134.755215,259134.755215,0.0,False,,,False,,
2026-01-01,AC0037,E010,Aurelius Singapore,APAC,SGD,Continental Trust,Host-to-host,0,5741.706709,0.0,0.0,False,,,False,,
2026-01-01,AC0038,E011,Aurelius Australia,APAC,USD,Pacific Crown,Host-to-host,0,4552473.05,0.0,0.0,False,,,False,,
2026-01-01,AC0039,E011,Aurelius Australia,APAC,AUD,Continental Trust,Host-to-host,0,2251422.749414,0.0,0.0,False,,,False,,
2026-01-01,AC0040,E011,Aurelius Australia,APAC,AUD,Continental Trust,Spreadsheet,3,596284.404537,596284.404537,0.0,False,,,False,,
2026-01-01,AC0041,E012,Aurelius Japan,APAC,JPY,Continental Trust,Host-to-host,0,6984.980321,0.0,0.0,False,,,False,,
2026-01-01,AC0042,E012,Aurelius Japan,APAC,USD,Union Atlantic,Host-to-host,0,488264.72,0.0,0.0,False,,,False,,
2026-01-01,AC0043,E012,Aurelius Japan,APAC,JPY,Union Atlantic,Portal,1,3832.920685,3832.920685,0.0,False,,,False,,
2026-01-01,AC0044,E013,Aurelius Korea,APAC,KRW,Northbridge Bank,Host-to-host,0,1508.604676,0.0,0.0,False,,,False,,
2026-01-01,AC0045,E013,Aurelius Korea,APAC,KRW,Pacific Crown,Spreadsheet,2,996.941857,0.0,0.0,False,,,False,,
2026-01-01,AC0046,E013,Aurelius Korea,APAC,KRW,Union Atlantic,Spreadsheet,2,371.316101,371.316101,0.0,False,,,False,,
2026-01-01,AC0047,E014,Aurelius India,APAC,INR,Meridian Commercial,Spreadsheet,2,25776.645552,25776.645552,0.0,False,,,False,,
2026-01-01,AC0048,E014,Aurelius India,APAC,INR,Continental Trust,Spreadsheet,2,18328.202798,18328.202798,0.0,False,,,False,,
2026-01-01,AC0049,E014,Aurelius India,APAC,USD,Pacific Crown,API,0,486083.63,486083.63,0.0,False,,,False,,
2026-01-01,AC0050,E015,Aurelius Hong Kong,APAC,HKD,Union Atlantic,Portal,1,395725.976307,0.0,0.0,False,,,False,,
2026-01-01,AC0051,E015,Aurelius Hong Kong,APAC,HKD,Pacific Crown,Host-to-host,0,80511.34168,0.0,0.0,False,,,False,,
2026-01-01,AC0052,E015,Aurelius Hong Kong,APAC,HKD,Continental Trust,API,0,31466.671291,31466.671291,0.0,False,,,False,,
2026-01-01,AC0053,E016,Aurelius Global Sourcing,APAC,USD,Pacific Crown,API,0,1144326.89,0.0,0.0,False,,,False,,
2026-01-01,AC0054,E016,Aurelius Global Sourcing,APAC,USD,Northbridge Bank,Host-to-host,0,1151814.86,0.0,0.0,False,,,False,,
2026-01-01,AC0055,E016,Aurelius Global Sourcing,APAC,USD,Meridian Commercial,API,0,272244.91,272244.91,0.0,False,,,False,,
2026-01-02,AC0001,E001,Aurelius Group Holdings,NA,USD,Union Atlantic,Spreadsheet,2,2456082.13,0.0,0.0,False,,,False,,
2026-01-02,AC0002,E001,Aurelius Group Holdings,NA,USD,Pacific Crown,Portal,1,1047402.66,0.0,0.0,False,,,False,,
2026-01-02,AC0003,E001,Aurelius Group Holdings,NA,USD,Meridian Commercial,API,0,362730.58,362730.58,0.0,False,,,False,,
2026-01-02,AC0004,E001,Aurelius Group Holdings,NA,USD,Continental Trust,Host-to-host,0,2065.97,0.0,0.0,False,,,False,,
2026-01-02,AC0005,E002,Aurelius Home US,NA,USD,Continental Trust,API,0,2930208.58,0.0,0.0,False,,,False,,
2026-01-02,AC0006,E002,Aurelius Home US,NA,USD,Pacific Crown,Host-to-host,0,3074059.18,0.0,0.0,False,,,False,,
2026-01-02,AC0007,E002,Aurelius Home US,NA,USD,Northbridge Bank,Host-to-host,0,978976.52,978976.52,0.0,False,,,False,,
2026-01-02,AC0008,E002,Aurelius Home US,NA,USD,Pacific Crown,Portal,1,755169.49,755169.49,0.0,False,,,False,,
2026-01-02,AC0009,E002,Aurelius Home US,NA,USD,Northbridge Bank,Portal,1,20795.13,0.0,0.0,False,,,False,,
2026-01-02,AC0010,E003,Aurelius Wellness US,NA,USD,Union Atlantic,Spreadsheet,2,3357462.71,0.0,0.0,False,,,False,,
2026-01-02,AC0011,E003,Aurelius Wellness US,NA,USD,Continental Trust,API,0,1834696.82,0.0,0.0,False,,,False,,
2026-01-02,AC0012,E003,Aurelius Wellness US,NA,USD,Northbridge Bank,Host-to-host,0,630548.38,630548.38,0.0,False,,,False,,
